Company,CompanyCurrency,Ap Entry,Txn1,Txn2,Txn3,Txn4
5821,SGD,1101.12456.5821,,,5821.12456.1101,5821.13560
5655,JPY,1101.12456.5655,,,5655.12456.1101,5655.13560
5810,INR,1101.12456.5810,,,5810.12456.1101,5810.13560
5820,EUR,1101.12456.5820,,,5820.12456.1101,5820.13560
5620,GBP,1101.12456.5655,5655.12456.1101,5655.12456.5620,5620.12456.5655,5620.13560
5705,KRW,1101.12456.5655,5655.12456.1101,5655.12456.5705,5705.12456.5655,5705.13560
